Date,Open,High,Low,Close,Adj Close,Volume
2013-04-02,203.556412,205.267685,202.265778,204.933075,142.282379,3260173
2013-04-03,204.894836,205.439774,203.279160,203.307846,141.153915,3272725
2013-04-04,203.412994,203.565964,200.803055,202.017212,140.257919,3880137
2013-04-05,199.904404,200.611862,197.265778,200.200760,138.996750,4338808
2013-04-08,199.875717,200.114716,198.212234,200.114716,138.937057,2459355
2013-04-09,200.344162,200.764816,199.435944,200.019119,138.870636,2695856
2013-04-10,202.543015,203.164429,201.214142,202.676865,140.715912,3686313
2013-04-11,202.198853,203.718933,201.577438,203.556412,141.326523,3823758
2013-04-12,201.520081,202.189301,200.554489,202.084137,140.304337,3311008
2013-04-15,201.185471,202.380493,200.057358,200.057358,138.897202,4412133
2013-04-16,201.567871,202.676865,200.000000,202.676865,140.715912,2991037
2013-04-17,201.271515,201.806885,200.286804,200.449326,139.169327,3420211
2013-04-18,200.869980,201.003830,197.084137,198.040146,137.496674,6801092
2013-04-19,187.131927,187.858505,181.414917,181.644363,126.113289,19713962
2013-04-22,182.743790,182.963669,179.426392,179.569794,124.672966,10298288
2013-04-23,180.946457,184.082214,180.315491,183.183563,127.181946,6585721
2013-04-24,183.709366,184.034424,182.686417,183.279160,127.248329,3863819
2013-04-25,184.216064,186.587006,183.862335,185.420654,128.735123,4864841
2013-04-26,185.621414,186.147232,184.751434,185.764816,128.974075,3650854
2013-04-29,186.214142,190.898666,186.089859,190.391968,132.186630,6205290
2013-04-30,190.372849,193.680695,188.671127,193.632889,134.436768,7886735
2013-05-01,192.992355,193.279160,190.439774,190.850861,132.505219,5124459
2013-05-02,191.319305,193.527725,190.965576,193.489487,134.337189,4126575
2013-05-03,194.971313,196.290634,194.789673,195.516251,135.744354,4699364
2013-05-06,194.827911,195.019119,192.657745,193.862335,134.596069,5048519
2013-05-07,193.891006,194.770554,192.782028,194.674957,135.160248,3609746
2013-05-08,194.015289,195.841293,193.604202,195.812622,136.616776,3767378
2013-05-09,195.688339,195.984711,193.804977,194.302109,135.562973,3705246
2013-05-10,194.426392,195.535370,193.900574,195.478012,136.383377,3430043
2013-05-13,195.200760,195.478012,193.326965,193.565964,135.049316,3816226
2013-05-14,193.202682,194.713196,193.193115,194.273422,135.542923,3869886
2013-05-15,193.355637,194.722748,193.154877,194.378586,135.616318,4213393
2013-05-16,195.028687,197.504776,195.028687,195.688339,136.530106,4714322
2013-05-17,196.223709,200.286804,195.975143,199.273422,139.031372,5966489
2013-05-20,198.871887,199.952194,198.298279,198.470367,138.471100,3780767
2013-05-21,198.126190,200.267685,197.896744,199.474182,139.171432,3120113
2013-05-22,199.330780,200.908218,197.055450,197.887192,138.064224,5425393
2013-05-23,196.443588,199.435944,196.108994,197.093689,137.510620,5417339
2013-05-24,195.688339,197.351822,195.430206,196.673035,137.217133,3447407
2013-05-28,198.317398,199.416824,198.049713,198.642441,138.591141,4196029
2013-05-29,197.151047,199.254303,196.978973,198.776291,138.684555,3597612
2013-05-30,197.868073,201.711288,197.868073,200.152969,139.644989,4602086
2013-05-31,199.416824,202.657745,198.871887,198.871887,138.751251,5176654
2013-06-03,199.091782,200.812622,198.212234,199.761002,139.371536,3474812
2013-06-04,199.426392,199.808792,196.061188,197.122375,137.530624,3763822
2013-06-05,196.137665,197.217972,193.499039,193.824097,135.229401,4409308
2013-06-06,194.072662,195.219879,192.609940,194.837479,135.936447,3848652
2013-06-07,195.841293,197.275330,195.133850,197.275330,137.637344,3089256
2013-06-10,197.868073,197.877625,195.889099,196.003830,136.750198,2774306
2013-06-11,194.235184,196.892929,193.604202,195.009567,136.056534,2943862
2013-06-12,195.592728,196.204590,191.692154,192.351822,134.202255,3566651
2013-06-13,192.170166,195.411087,191.529633,194.808792,135.916458,3032877
2013-06-14,195.000000,195.736145,192.934998,193.307846,134.869263,2933507
